발주번호,발주일,공급업체,품목코드,발주수량,단가,납기예정일,발주담당
PO20261083,2026/05/13,Fujifilm BI Shenzhen,item009,120,2750,2026/05/28,박구매
PO20261078,2026/05/17,FBI Shenzhen,ITEM009,50,2750,2026/05/30,김구매
PO20261024,09-MAY-26,Fujifilm BI Shanghai,ITEM007,"1,000",6400,19-MAY-26,박구매
PO20261019,2026-07-07,태국법인,ITEM020,150,24000,2026-07-25,이구매
PO20261011,2026/06/19,FBI Shanghai,ITEM007,600,6400,2026/06/25,박구매
PO20261086,2026-05-21,Fujifilm BI Suzhou,item-016,120,210,2026-05-31,김구매
PO20261064,2026/06/12,말레이시아법인,ITEM012,120,15200,2026/06/25,이구매
PO20261017,2026/04/09,후지필름BI 재팬, ITEM011 ,50,2050,2026/04/22,박구매
PO20261018,2026-04-24,타이완법인,item005,300,4100,2026-04-28,박구매
PO20261036,2026-06-04,Fujifilm BI Thailand,ITEM-020,50,24000,2026-06-17,이구매
PO20261032,20260422,Fujifilm BI Shanghai,ITEM019,120,780,20260503,김구매
PO20261023,20260403,FUJIFILM BI SHANGHAI,item-019,120,780,20260415,김구매
PO20261027,2026-04-15,FBI Suzhou,ITEM014,100,320,2026-04-21,이구매
PO20261007,20260420,FUJIFILM BI JAPAN,ITEM010,200,1900,20260426,이구매
PO20261065,2026-05-31,FBI Shenzhen,ITEM009,600,2750,2026-06-13,박구매
PO20261072,27-MAY-26,FBI Suzhou,ITEM015,150,540,02-JUN-26,박구매
PO20261055,2026-05-24,Fujifilm BI Vietnam,item017,150,95,2026-06-20,이구매
PO20261016,2026-05-25,Fujifilm BI Thailand,ITEM020,120,24000,2026-06-07,이구매
PO20261002,07-JUN-26,Fujifilm BI Shanghai,item019,300,780,13-JUN-26,김구매
PO20261033,20260531,FBI Suzhou,ITEM-014,150,320,20260604,박구매
PO20261025,2026-04-24,FBI Shanghai,ITEM006,500,8900,2026-05-01,김구매
PO20261004,2026/05/13,FUJIFILM BI SHANGHAI,ITEM019,600,780,2026/05/24,이구매
PO20261031,2026/04/30,FBI Suzhou,item015,300,540,2026/05/10,박구매
PO20261060,20260506,FBI Shenzhen,ITEM009,100,2750,20260517,이구매
PO20261041,2026-06-14,Fujifilm BI Taiwan,item003,120,3200,2026-06-18,박구매
PO20261008,2026-05-20,태국법인,ITEM-004,,5800,2026-06-07,김구매
PO20261080,2026/06/29,Fujifilm BI Malaysia,ITEM013,500,18700,2026/07/13,김구매
PO20261045,19-APR-26,FBI Malaysia,ITEM013,600,18700,29-APR-26,이구매
PO20261056,2026/04/23,Fujifilm BI Vietnam,ITEM-018,200,,2026/05/13,이구매
PO20261088,2026/05/24,후지필름BI 재팬,ITEM001,500,1200,2026/06/04,박구매
PO20261050,29-JUN-26,Fujifilm BI Shanghai,ITEM019,100,780,08-JUL-26,이구매
PO20261020,2026/05/01,Fujifilm BI Suzhou,item016,250,210,2026/05/10,박구매
PO20261085,20260707,후지필름BI 재팬,ITEM-001,100,1200,20260718,이구매
PO20261082,20260419,말레이시아법인,item012,1000,15200,20260503,박구매
PO20261012,2026-07-09,타이완법인,ITEM005,500,4100,2026-07-19,박구매
PO20261039,20260618,말레이시아법인,ITEM013,500,18700,20260630,김구매
PO20261079,2026-05-13,FBI Malaysia,ITEM013,100,18700,2026-05-24,김구매
PO20261073,2026/07/06,FBI Vietnam,ITEM017,100,95,2026/08/02,김구매
PO20261040,2026/06/17,Fujifilm BI Japan,ITEM002,1000,1450,2026/06/23,김구매
PO20261054,20260607,후지필름BI 재팬,ITEM011,250,2050,20260617,박구매
PO20261021,2026-04-05,FBI Malaysia, ITEM012 ,100,15200,2026-04-16,이구매
PO20261087,2026-06-28,태국법인,ITEM004,100,5800,2026-07-15,박구매
PO20261011,2026/06/19,FBI Shanghai,ITEM007,600,6400,2026/06/25,박구매
PO20261035,2026-05-16,FBI Japan,ITEM002,1000,1450,2026-05-25,이구매
PO20261053,20260617,FBI Malaysia,item013,120,18700,20260625,이구매
PO20261074,2026-04-15,Fujifilm BI Taiwan,ITEM003,300,3200,2026-04-21,이구매
PO20261062,2026/06/25,FBI Taiwan,ITEM005,50,4100,2026/07/02,박구매
PO20261057,24-APR-26,베트남법인,ITEM018,1000,140,14-MAY-26,이구매
PO20261071,2026-04-05,미정,ITEM-017,120,95,2026-04-26,이구매
PO20261084,2026-05-03,Fujifilm BI Shenzhen,ITEM008,300,2300,2026-05-15,박구매
PO20261051,20260426,Fujifilm BI Shanghai,ITEM006,50,8900,20260502,김구매
PO20261081,2026-04-26,FBI Shenzhen,ITEM009,150,2750,2026-05-06,이구매
PO20261005,2026-05-25,베트남법인,ITEM-017,200,95,2026-06-18,이구매
PO20261042,2026/04/14,Fujifilm BI Suzhou,ITEM-014,,320,2026/04/17,박구매
PO20261066,2026-05-13,FBI Shanghai,ITEM-006,500,8900,2026-05-24,김구매
PO20261029,20260608,말레이시아법인,ITEM013,150,18700,20260619,김구매
PO20261046,20260424,태국법인, ITEM004 ,200,5800,20260514,김구매
PO20261038,2026-06-09,FBI Shanghai, ITEM019 ,1000,780,2026-06-19,이구매
PO20261031,2026/04/30,FBI Suzhou,item015,300,540,2026/05/10,박구매
PO20261006,2026-07-05,Fujifilm BI Thailand,ITEM020,250,24000,2026-07-18,김구매
PO20261001,2026/06/13,FBI Suzhou,ITEM016,300,210,2026/06/19,이구매
PO20261015,2026-04-28,FBI Thailand,item020,300,24000,2026-05-13,박구매
PO20261003,2026/06/14,Fujifilm BI Malaysia,ITEM013,500,18700,2026/06/27,박구매
PO20261048,2026-05-20,FBI Taiwan,item005,200,4100,2026-05-29,김구매
PO20261090,2026/06/27,FBI Vietnam,item017,120,95,2026/07/20,김구매
PO20261014,20260705,FUJIFILM BI JAPAN,ITEM001,500,1200,20260717,이구매
PO20261010,06-JUL-26,태국법인, ITEM020 ,500,24000,19-JUL-26,이구매
PO20261063,2026-06-25,후지필름BI 재팬,ITEM999,200,1450,2026-07-08,이구매
PO20261037,20260528,FBI Japan, ITEM001 ,200,1200,20260605,이구매
PO20261028,2026-04-22,Fujifilm BI Taiwan,ITEM005,500,4100,2026-04-29,박구매
PO20261052,2026/05/01,FUJIFILM BI JAPAN,item-001,200,1200,2026/05/07,이구매
PO20261049,2026/05/05,FBI Shanghai,item007,50,6400,2026/05/10,박구매
PO20261026,2026-06-30,FBI Shanghai,ITEM-007,100,6400,2026-07-07,이구매
PO20261043,10-JUL-26,Fujifilm BI Malaysia,ITEM012,600,15200,19-JUL-26,이구매
PO20261044,2026/05/14,선전법인,ITEM008,50,2300,2026/05/30,박구매
PO20261009,26-JUN-26,FBI Malaysia,ITEM-013,500,18700,04-JUL-26,박구매
